packet_id,src,dest,created,delivered,latency,hops
432,12,46,432.0,473.0,41.0,41
471,4,2,471.0,474.0,3.0,3
435,45,16,435.0,476.0,41.0,44
420,54,41,420.0,481.0,61.0,60
451,29,0,451.0,483.0,32.0,34
438,36,17,438.0,485.0,47.0,50
473,25,14,473.0,486.0,13.0,12
426,9,47,426.0,489.0,63.0,63
444,4,33,444.0,489.0,45.0,46
477,2,8,477.0,490.0,13.0,13
455,27,43,455.0,491.0,36.0,35
460,38,1,460.0,493.0,33.0,34
439,0,18,439.0,493.0,54.0,57
474,2,14,474.0,494.0,20.0,19
482,36,24,482.0,495.0,13.0,13
442,19,50,442.0,495.0,53.0,56
465,46,3,465.0,497.0,32.0,32
479,55,59,479.0,497.0,18.0,17
430,3,43,430.0,497.0,67.0,71
454,54,28,454.0,501.0,47.0,51
476,9,20,476.0,502.0,26.0,26
470,18,41,470.0,505.0,35.0,36
500,35,29,500.0,508.0,8.0,7
475,59,22,475.0,509.0,34.0,38
468,12,52,468.0,511.0,43.0,45
485,51,6,485.0,512.0,27.0,28
459,44,25,459.0,514.0,55.0,56
484,42,59,484.0,514.0,30.0,30
508,38,33,508.0,514.0,6.0,6
450,12,54,450.0,515.0,65.0,67
463,30,14,463.0,516.0,53.0,55
446,57,52,446.0,517.0,71.0,72
493,32,35,493.0,518.0,25.0,26
464,33,23,464.0,519.0,55.0,57
517,9,7,517.0,520.0,3.0,3
452,8,51,452.0,522.0,70.0,74
487,37,49,487.0,524.0,37.0,37
457,28,16,457.0,524.0,67.0,71
492,16,34,492.0,525.0,33.0,35
462,8,51,462.0,528.0,66.0,66
520,6,9,520.0,529.0,9.0,10
488,43,1,488.0,532.0,44.0,47
480,35,3,480.0,532.0,52.0,53
469,32,18,469.0,532.0,63.0,69
491,28,51,491.0,532.0,41.0,40
511,5,21,511.0,533.0,22.0,23
509,35,39,509.0,534.0,25.0,25
505,14,30,505.0,535.0,30.0,31
503,9,38,503.0,535.0,32.0,34
506,2,20,506.0,535.0,29.0,33
472,22,57,472.0,536.0,64.0,64
498,58,15,498.0,536.0,38.0,40
523,40,49,523.0,540.0,17.0,16
483,3,37,483.0,540.0,57.0,59
478,36,18,478.0,542.0,64.0,67
499,44,54,499.0,542.0,43.0,45
481,58,43,481.0,542.0,61.0,64
512,15,29,512.0,546.0,34.0,35
534,56,6,534.0,547.0,13.0,13
519,54,16,519.0,548.0,29.0,31
496,37,4,496.0,549.0,53.0,56
530,19,24,530.0,554.0,24.0,24
539,42,52,539.0,555.0,16.0,15
553,50,47,553.0,558.0,5.0,4
542,53,1,542.0,560.0,18.0,17
531,32,38,531.0,560.0,29.0,33
516,26,50,516.0,561.0,45.0,47
515,8,43,515.0,561.0,46.0,48
522,56,29,522.0,563.0,41.0,42
524,11,38,524.0,564.0,40.0,42
507,19,55,507.0,564.0,57.0,61
526,10,39,526.0,566.0,40.0,42
540,18,29,540.0,567.0,27.0,26
557,6,8,557.0,568.0,11.0,11
525,42,4,525.0,569.0,44.0,43
533,22,48,533.0,572.0,39.0,43
567,31,27,567.0,573.0,6.0,5
514,34,7,514.0,574.0,60.0,60
529,48,22,529.0,575.0,46.0,49
527,50,31,527.0,575.0,48.0,50
528,41,0,528.0,575.0,47.0,46
537,54,27,537.0,575.0,38.0,42
565,22,13,565.0,576.0,11.0,10
521,31,4,521.0,577.0,56.0,58
535,10,41,535.0,577.0,42.0,42
510,54,36,510.0,578.0,68.0,69
571,54,56,571.0,581.0,10.0,9
544,14,30,544.0,582.0,38.0,39
518,22,3,518.0,582.0,64.0,68
543,9,35,543.0,585.0,42.0,41
550,51,8,550.0,585.0,35.0,34
541,5,48,541.0,587.0,46.0,46
572,25,32,572.0,590.0,18.0,20
532,48,45,532.0,591.0,59.0,62
546,4,31,546.0,591.0,45.0,48
568,35,44,568.0,592.0,24.0,24
549,5,42,549.0,596.0,47.0,50
569,22,28,569.0,599.0,30.0,31
581,3,14,581.0,600.0,19.0,20
538,20,10,538.0,600.0,62.0,63
561,36,3,561.0,600.0,39.0,42
577,2,18,577.0,602.0,25.0,25
547,31,15,547.0,603.0,56.0,57
551,7,36,551.0,603.0,52.0,56
560,34,14,560.0,608.0,48.0,49
575,42,8,575.0,608.0,33.0,35
604,44,42,604.0,608.0,4.0,3
564,2,45,564.0,609.0,45.0,50
583,49,13,583.0,611.0,28.0,29
552,38,36,552.0,613.0,61.0,67
595,8,12,595.0,614.0,19.0,19
555,36,0,555.0,616.0,61.0,65
606,40,42,606.0,618.0,12.0,11
576,28,52,576.0,618.0,42.0,41
556,43,27,556.0,618.0,62.0,65
589,9,23,589.0,619.0,30.0,31
597,49,6,597.0,620.0,23.0,22
586,47,18,586.0,621.0,35.0,34
574,1,51,574.0,621.0,47.0,51
559,48,41,559.0,622.0,63.0,64
584,37,13,584.0,622.0,38.0,39
578,27,57,578.0,625.0,47.0,49
558,22,3,558.0,625.0,67.0,68
591,29,46,591.0,629.0,38.0,42
631,14,12,631.0,634.0,3.0,3
628,7,9,628.0,635.0,7.0,7
620,22,27,620.0,636.0,16.0,16
621,21,27,621.0,638.0,17.0,17
590,23,53,590.0,639.0,49.0,53
582,6,59,582.0,641.0,59.0,60
614,47,5,614.0,641.0,27.0,27
638,43,40,638.0,642.0,4.0,4
601,0,24,601.0,642.0,41.0,41
618,42,45,618.0,643.0,25.0,26
585,17,13,585.0,645.0,60.0,63
613,37,54,613.0,646.0,33.0,36
598,35,12,598.0,646.0,48.0,48
593,23,2,593.0,650.0,57.0,62
616,32,51,616.0,650.0,34.0,36
615,41,55,615.0,651.0,36.0,39
596,56,44,596.0,651.0,55.0,55
642,56,47,642.0,651.0,9.0,10
599,35,13,599.0,651.0,52.0,55
634,19,25,634.0,653.0,19.0,21
592,6,50,592.0,654.0,62.0,63
651,51,50,651.0,654.0,3.0,2
623,38,40,623.0,655.0,32.0,35
611,43,17,611.0,657.0,46.0,47
653,6,8,653.0,659.0,6.0,5
637,21,31,637.0,660.0,23.0,23
609,36,6,609.0,660.0,51.0,53
640,49,57,640.0,660.0,20.0,21
605,4,43,605.0,662.0,57.0,58
600,8,49,600.0,662.0,62.0,62
650,0,12,650.0,663.0,13.0,13
635,37,56,635.0,667.0,32.0,32
629,52,26,629.0,668.0,39.0,41
641,16,39,641.0,670.0,29.0,30
636,43,47,636.0,670.0,34.0,35
624,35,53,624.0,670.0,46.0,47
639,3,26,639.0,670.0,31.0,32
645,8,28,645.0,673.0,28.0,29
602,34,24,602.0,673.0,71.0,73
666,33,27,666.0,674.0,8.0,7
633,30,6,633.0,674.0,41.0,41
657,46,0,657.0,675.0,18.0,17
658,11,27,658.0,679.0,21.0,23
670,57,4,670.0,681.0,11.0,10
627,45,20,627.0,681.0,54.0,54
632,58,26,632.0,682.0,50.0,51
643,46,17,643.0,683.0,40.0,40
680,35,34,680.0,683.0,3.0,2
677,55,50,677.0,683.0,6.0,6
674,53,1,674.0,684.0,10.0,9
664,8,22,664.0,685.0,21.0,21
663,19,41,663.0,690.0,27.0,29
648,38,56,648.0,691.0,43.0,45
665,32,50,665.0,692.0,27.0,27
683,8,15,683.0,693.0,10.0,10
673,49,56,673.0,693.0,20.0,22
652,42,14,652.0,694.0,42.0,43
681,8,19,681.0,695.0,14.0,14
630,23,12,630.0,696.0,66.0,68
679,44,49,679.0,697.0,18.0,20
682,4,16,682.0,698.0,16.0,15
661,33,0,661.0,698.0,37.0,40
687,0,3,687.0,699.0,12.0,12
654,36,14,654.0,702.0,48.0,49
656,2,51,656.0,704.0,48.0,50
647,42,19,647.0,705.0,58.0,58
659,17,59,659.0,705.0,46.0,47
644,31,15,644.0,705.0,61.0,65
672,27,50,672.0,707.0,35.0,36
688,5,8,688.0,708.0,20.0,20
686,24,44,686.0,708.0,22.0,21
676,22,45,676.0,710.0,34.0,34
662,57,43,662.0,712.0,50.0,51
668,29,4,668.0,714.0,46.0,46
694,16,36,694.0,715.0,21.0,21
697,13,20,697.0,716.0,19.0,18
703,11,21,703.0,719.0,16.0,15
669,0,53,669.0,723.0,54.0,58
702,28,41,702.0,726.0,24.0,24
693,0,25,693.0,727.0,34.0,34
691,44,2,691.0,728.0,37.0,39
667,48,37,667.0,728.0,61.0,62
699,41,49,699.0,730.0,31.0,33
716,18,25,716.0,734.0,18.0,18
675,45,31,675.0,734.0,59.0,59
708,49,6,708.0,734.0,26.0,26
725,4,8,725.0,734.0,9.0,9
678,9,6,678.0,738.0,60.0,62
730,58,51,730.0,739.0,9.0,8
720,2,9,720.0,739.0,19.0,20
684,37,29,684.0,740.0,56.0,57
714,37,0,714.0,740.0,26.0,26
719,29,39,719.0,740.0,21.0,21
690,45,30,690.0,743.0,53.0,56
704,6,38,704.0,743.0,39.0,39
746,7,6,746.0,748.0,2.0,2
696,23,13,696.0,749.0,53.0,55
700,57,42,700.0,749.0,49.0,50
692,41,16,692.0,750.0,58.0,60
705,18,4,705.0,752.0,47.0,47
722,18,38,722.0,753.0,31.0,31
718,30,57,718.0,753.0,35.0,36
715,42,2,715.0,754.0,39.0,41
727,14,32,727.0,755.0,28.0,31
734,6,16,734.0,756.0,22.0,21
736,13,27,736.0,757.0,21.0,21
729,28,31,729.0,757.0,28.0,30
731,41,58,731.0,760.0,29.0,28
745,40,52,745.0,760.0,15.0,15
761,30,27,761.0,765.0,4.0,4
755,29,35,755.0,765.0,10.0,9
756,37,39,756.0,768.0,12.0,11
749,54,59,749.0,769.0,20.0,20
710,30,22,710.0,772.0,62.0,61
701,46,31,701.0,773.0,72.0,76
724,13,52,724.0,773.0,49.0,50
766,47,41,766.0,774.0,8.0,7
728,8,16,728.0,776.0,48.0,47
717,34,26,717.0,778.0,61.0,65
733,59,16,733.0,780.0,47.0,46
737,39,14,737.0,780.0,43.0,44
735,24,55,735.0,782.0,47.0,50
758,58,15,758.0,782.0,24.0,24
744,58,26,744.0,784.0,40.0,39
764,19,30,764.0,784.0,20.0,22
721,55,41,721.0,784.0,63.0,65
753,34,0,753.0,785.0,32.0,31
754,20,40,754.0,786.0,32.0,31
740,26,57,740.0,788.0,48.0,50
752,22,51,752.0,789.0,37.0,38
763,40,50,763.0,790.0,27.0,29
760,17,28,760.0,790.0,30.0,30
750,59,34,750.0,790.0,40.0,40
769,28,31,769.0,791.0,22.0,22
786,8,4,786.0,791.0,5.0,5
774,21,25,774.0,791.0,17.0,19
738,22,2,738.0,791.0,53.0,55
781,8,10,781.0,796.0,15.0,15
792,49,45,792.0,798.0,6.0,7
739,24,6,739.0,799.0,60.0,65
796,9,5,796.0,800.0,4.0,5
741,11,55,741.0,803.0,62.0,61
767,18,26,767.0,805.0,38.0,41
784,41,49,784.0,805.0,21.0,21
748,30,12,748.0,806.0,58.0,63
778,15,25,778.0,806.0,28.0,27
770,51,4,770.0,808.0,38.0,38
751,55,39,751.0,809.0,58.0,59
773,15,34,773.0,809.0,36.0,36
762,40,15,762.0,810.0,48.0,52
757,38,0,757.0,810.0,53.0,53
765,16,43,765.0,811.0,46.0,48
803,57,3,803.0,811.0,8.0,7
747,34,28,747.0,811.0,64.0,65
776,29,2,776.0,814.0,38.0,40
793,44,55,793.0,815.0,22.0,22
775,49,14,775.0,815.0,40.0,40
788,26,43,788.0,817.0,29.0,28
759,51,48,759.0,819.0,60.0,64
794,7,33,794.0,824.0,30.0,31
789,5,35,789.0,824.0,35.0,37
820,43,46,820.0,827.0,7.0,6
787,57,34,787.0,829.0,42.0,48
812,54,3,812.0,830.0,18.0,18
798,39,7,798.0,831.0,33.0,33
795,1,34,795.0,831.0,36.0,40
772,21,10,772.0,832.0,60.0,62
813,44,1,813.0,833.0,20.0,20
828,43,44,828.0,833.0,5.0,4
825,27,15,825.0,836.0,11.0,13
801,14,35,801.0,836.0,35.0,38
777,12,2,777.0,838.0,61.0,61
809,1,36,809.0,841.0,32.0,36
791,47,28,791.0,841.0,50.0,52
807,16,40,807.0,843.0,36.0,37
835,56,0,835.0,843.0,8.0,7
783,27,26,783.0,843.0,60.0,60
834,37,43,834.0,844.0,10.0,9
800,24,53,800.0,844.0,44.0,48
840,29,33,840.0,845.0,5.0,5
817,53,22,817.0,850.0,33.0,36
785,14,4,785.0,850.0,65.0,67
815,25,45,815.0,856.0,41.0,47
832,48,5,832.0,857.0,25.0,26
806,35,20,806.0,858.0,52.0,52
810,15,51,810.0,858.0,48.0,51
802,21,1,802.0,860.0,58.0,61
831,42,12,831.0,860.0,29.0,31
851,19,11,851.0,861.0,10.0,9
836,33,34,836.0,861.0,25.0,26
845,45,3,845.0,864.0,19.0,19
799,46,44,799.0,865.0,66.0,73
833,42,12,833.0,866.0,33.0,33
863,36,38,863.0,867.0,4.0,3
819,57,33,819.0,867.0,48.0,49
846,43,4,846.0,869.0,23.0,22
826,3,40,826.0,870.0,44.0,44
829,25,48,829.0,871.0,42.0,48
861,15,19,861.0,871.0,10.0,9
850,36,47,850.0,872.0,22.0,22
847,53,10,847.0,873.0,26.0,26
859,52,45,859.0,874.0,15.0,14
852,45,47,852.0,874.0,22.0,21
827,52,34,827.0,875.0,48.0,49
839,16,41,839.0,876.0,37.0,38
872,9,11,872.0,876.0,4.0,3
858,18,28,858.0,878.0,20.0,19
